Released_Year,movies_released,avg_rating,best_rating,top_movie
2020,6,8.13,8.6,Hamilton
2019,23,8.00,8.6,Gisaengchung
2018,19,7.99,8.4,Capharnaum
2017,22,7.89,8.4,"Ayla: The Daughter of War"
2016,28,7.94,8.4,"Kimi no na wa."
2015,25,7.87,8.2,Talvar
2014,32,7.92,8.6,Interstellar
2013,28,7.92,8.3,Drishyam
2012,24,7.94,8.4,"Django Unchained"
2011,18,7.88,8.5,"The Intouchables"
2010,23,7.90,8.8,Inception
